"","Checklist.ID","Site.ID","year","month","Sampling.protocol","Party.Size","Observer","presence","presence_f","GID_1","GID_0","COUNTRY","NAME_1","VARNAME_1","NL_NAME_1","TYPE_1","ENGTYPE_1","CC_1","HASC_1","ISO_1","geometry"
"99",3538,3538,2012,6,"Traveling Survey",NA,"CFERTeam",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-657642.576751027, 1125601.92773711)
"100",3540,3540,2012,6,"Traveling Survey",NA,"CFERTeam",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-540151.656650214, 1079637.80060749)
"101",3542,3542,2012,7,"Traveling Survey",NA,"CFERTeam",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-663142.837919996, 663710.322628851)
"102",3591,3591,2012,7,"Area Survey",NA,"Max Larrivee",1,"Presence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-394909.241907964, 187847.292685784)
"103",3625,3625,2012,7,"Traveling Survey",NA,"sletirant",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-400594.541317541, 205551.101977541)
"104",3661,3661,2012,6,"Area Survey",NA,"gshields",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-574395.143925128, 183947.332305248)
"105",3727,3727,2012,7,"Traveling Survey",NA,"Max Larrivee",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-414135.890122833, 166536.124564496)
"106",4140,4140,2012,7,"Traveling Survey",NA,"CFERTeam",1,"Presence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-588778.795730418, 217198.38346461)
"107",4162,4162,2012,6,"Area Survey",NA,"Biozen",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-398689.299814123, 174522.485267914)
"108",4398,4398,2012,7,"Traveling Survey",NA,"rcav",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-574752.055323769, 197559.184299886)
"109",4844,4844,2012,7,"Traveling Survey",NA,"Max Larrivee",1,"Presence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-222568.384715282, 322388.465369004)
"110",4887,4887,2012,7,"Traveling Survey",NA,"CFERTeam",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-636264.319687259, 795892.453393034)
"111",4889,4889,2012,7,"Traveling Survey",NA,"CFERTeam",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-609543.426194507, 715829.392868688)
"112",4890,4890,2012,7,"Traveling Survey",NA,"CFERTeam",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-614782.123460893, 654744.527816408)
"113",4891,4891,2012,7,"Traveling Survey",NA,"CFERTeam",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-612877.017139157, 706326.472791088)
"114",4894,4894,2012,7,"Traveling Survey",NA,"CFERTeam",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-661015.854139075, 671252.318100818)
"115",4997,4997,2012,8,"Area Survey",NA,"cathval",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-197461.898726333, 280002.795671929)
"116",5005,5005,2012,8,"Traveling Survey",NA,"peter_hall",1,"Presence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-585083.70945063, 201541.561819002)
"117",5045,5045,2012,8,"Area Survey",NA,"Sonya",1,"Presence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-355604.252324189, 189745.263226293)
"118",5076,5076,2012,7,"Traveling Survey",NA,"Cloutier82",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-434171.651183109, 128189.58533381)
"119",5202,5202,2012,8,"Traveling Survey",NA,"rcav",1,"Presence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-578690.409910149, 199273.444550261)
"120",5329,5329,2012,8,"Area Survey",NA,"fleuriman",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-265012.886627425, 165037.852852242)
"121",5542,5542,2012,8,"Traveling Survey",NA,"Max Larrivee",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(44281.6456939408, 524726.507338909)
"122",5543,5543,2012,8,"Traveling Survey",NA,"Max Larrivee",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(1400.25795644019, 491661.331383722)
"123",5544,5544,2012,8,"Traveling Survey",NA,"Max Larrivee",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(44184.877736981, 523336.674089083)
"124",5545,5545,2012,8,"Traveling Survey",NA,"Max Larrivee",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(44944.1643404736, 523728.827183424)
"125",5547,5547,2012,8,"Traveling Survey",NA,"Max Larrivee",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(35803.8294972302, 518721.681829047)
